DateID,RegionID,GenerationSourceID,GenerationAmount
15,5,6,29.0
15,5,14,1.0
15,1,8,160.0
15,1,11,24.0
15,1,10,130.6
15,1,1,809.0
15,1,2,13.0
15,1,9,30.0
15,1,6,9.0
15,1,14,179.0
15,3,8,79.0
15,3,11,43.0
15,3,10,117.82
15,3,1,711.0
15,3,2,65.0
15,3,9,70.0
15,3,6,6.0
15,3,14,191.0
15,6,8,327.0
15,6,11,153.0
15,6,10,317.0
15,6,1,3814.0
15,6,2,93.0
15,6,9,135.0
15,6,6,52.0
15,6,14,526.0
15,2,8,33.0
15,2,11,85.0
15,2,10,61.48
15,2,1,1560.0
15,2,2,15.0
15,2,9,35.0
15,2,6,7.0
15,2,14,148.0
16,4,8,44.0
16,4,10,5.14
16,4,1,701.0
16,4,2,0.0
16,4,9,0.0
16,4,6,0.0
16,4,14,6.0
16,5,8,9.0
16,5,10,0.93
16,5,1,16.0
16,5,2,0.0
16,5,9,0.0
16,5,6,31.0
16,5,14,1.0
16,1,8,155.0
16,1,11,20.0
16,1,10,137.53
16,1,1,806.0
16,1,2,12.0
16,1,9,30.0
16,1,6,16.0
16,1,14,177.0
16,3,8,77.0
16,3,11,28.0
16,3,10,131.03
16,3,1,706.0
16,3,2,65.0
16,3,9,70.0
16,3,6,6.0
16,3,14,159.0
16,6,8,317.0
16,6,11,127.0
16,6,10,343.0
16,6,1,3745.0
16,6,2,92.0
16,6,9,135.0
16,6,6,58.0
16,6,14,492.0
16,2,8,31.0
16,2,11,80.0
16,2,10,68.08
16,2,1,1517.0
16,2,2,16.0
16,2,9,35.0
16,2,6,4.0
16,2,14,150.0
17,4,8,44.0
17,4,10,3.34
17,4,1,717.0
17,4,2,0.0
17,4,9,0.0
17,4,6,0.0
17,4,14,4.0
17,5,8,9.0
17,5,10,1.02
17,5,1,17.0
17,5,2,0.0
17,5,9,0.0
17,5,6,31.0
17,5,14,1.0
17,1,8,160.0
17,1,11,27.0
17,1,10,139.44
17,1,1,836.0
17,1,2,16.0
17,1,9,30.0
17,1,6,34.0
17,1,14,186.0
17,3,8,89.0
17,3,11,40.0
17,3,10,129.62
17,3,1,744.0
17,3,2,65.0
17,3,9,70.0
17,3,6,6.0
17,3,14,201.0
17,6,8,350.0
17,6,11,143.0
17,6,10,341.0
17,6,1,3886.0
17,6,2,96.0
17,6,9,135.0
17,6,6,111.0
17,6,14,537.0
17,2,8,47.0
17,2,11,76.0
17,2,10,67.58
17,2,1,1572.0
17,2,2,15.0
17,2,9,35.0
17,2,6,39.0
17,2,14,145.0
18,4,8,46.0
18,4,10,2.66
18,4,1,720.0
18,4,2,0.0
18,4,9,0.0
18,4,6,0.0
18,4,14,3.0
18,5,8,11.0
18,5,10,0.93
18,5,1,17.0
18,5,2,0.0
18,5,9,0.0
18,5,6,31.0
18,5,14,1.0
18,1,8,162.0
18,1,11,33.0
18,1,10,135.77
18,1,1,855.0
18,1,2,22.0
18,1,9,30.0
18,1,6,41.0
18,1,14,188.0
18,3,8,92.0
18,3,11,31.0
18,3,10,127.66
18,3,1,773.0
18,3,2,66.0
18,3,9,69.0
18,3,6,6.0
18,3,14,191.0
18,6,8,358.0
18,6,11,137.0
18,6,10,333.0
18,6,1,3988.0
18,6,2,102.0
18,6,9,134.0
18,6,6,132.0
18,6,14,524.0
18,2,8,47.0
